_id,geometry.coordinates,geometry.type,properties.description,properties.id,properties.name,properties.parent_station,properties.route_id,properties.route_variante_id,properties.wheelchair_boarding,type
615615f357da3ca0b09693ec,"[6.002917,47.274315]",Point,,CHAMPET2,École-Valentin - Champêtre,st_ecolevalentin__champetre,8,45-1,available,Feature
615615f357da3ca0b09693ed,"[6.0609517097473145,47.261314392089844]",Point,,st_chalezeule__chalezeule,Chalezeule - Chalezeule,,,,available,Feature
615615f357da3ca0b09693ee,"[5.9895172119140625,47.23462677001953]",Point,,st_sapins,Sapins,,,,unknown,Feature
615615f357da3ca0b09693ef,"[6.018230438232422,47.25093078613281]",Point,,st_lumiere,Lumière,,,,available,Feature
615615f357da3ca0b09693f0,"[6.037011,47.23413]",Point,,PORJOIN2,Port Joint,st_port_joint,12,24-2,unknown,Feature
615615f357da3ca0b09693f1,"[6.0270724,47.240948]",Point,,t_repu2,République,st_republique,101,15-1,available,Feature
615615f357da3ca0b09693f2,"[6.037148,47.233818]",Point,,PORJOIN1,Port Joint,st_port_joint,12,24-1,available,Feature
615615f357da3ca0b09693f3,"[6.013273,47.25593]",Point,,CHARMIL1,Charmilles,st_charmilles,5,109-3,unknown,Feature
615615f357da3ca0b09693f4,"[6.008076,47.26985]",Point,,ECOLETO2,Ecole des Torcols,st_ecole_des_torcols,8,45-1,unknown,Feature
615615f357da3ca0b09693f5,"[5.978666305541992,47.242801666259766]",Point,,st_baverez,Baverez,,,,unknown,Feature
615615f357da3ca0b09693f6,"[5.951406,47.22164]",Point,,t_hdc2,Hauts du Chazal,st_hauts_du_chazal,101,15-1,available,Feature
615615f357da3ca0b09693f7,"[6.026901,47.2492]",Point,,CHANOIS2,Chanois,st_chanois,12,24-2,unknown,Feature
615615f357da3ca0b09693f8,"[6.036385,47.24698]",Point,,MERMOZ2,Mermoz,st_mermoz,5,109-3,unknown,Feature
615615f357da3ca0b09693f9,"[5.997284,47.2533]",Point,,TEMIS1,Temis,st_temis,12,24-2,unknown,Feature
615615f357da3ca0b09693fa,"[6.018504,47.256577]",Point,,WYRSCH2,Wyrsch,st_wyrsch,8,45-1,unknown,Feature
615615f357da3ca0b09693fb,"[6.041407108306885,47.24009704589844]",Point,,st_fort_de_bregille,Fort de Bregille,,,,unknown,Feature
615615f357da3ca0b09693fc,"[6.041277,47.24273]",Point,,GAIFFE1,Gaiffe,st_gaiffe,10,88-2,available,Feature
615615f357da3ca0b09693fd,"[6.037446,47.247368]",Point,,MERMOZ1,Mermoz,st_mermoz,5,109-2,unknown,Feature
615615f357da3ca0b09693fe,"[6.040741,47.26269]",Point,,CHOPIN2,Chopin,st_chopin,7,63-5,available,Feature
615615f357da3ca0b09693ff,"[6.031517,47.248768]",Point,,MARILOU1,Marie Louise,st_marie_louise,11,55-0,available,Feature
615615f357da3ca0b0969400,"[6.020014,47.24926]",Point,,LARMET2,Larmet,st_larmet,5,109-2,available,Feature
615615f357da3ca0b0969401,"[5.9779186,47.236443]",Point,,FRESNEL4,Fresnel,st_fresnel,10,88-4,unknown,Feature
615615f357da3ca0b0969402,"[6.05812931060791,47.25139236450195]",Point,,st_bois_st_paul,Bois St Paul,,,,unknown,Feature
615615f357da3ca0b0969403,"[6.049769,47.228115]",Point,,CHARMAR1,Charmarin,st_charmarin,12,24-1,unknown,Feature
615615f357da3ca0b0969404,"[5.964474678039551,47.2353515625]",Point,,st_prolabor,Prolabor,,,,unknown,Feature
615615f357da3ca0b0969405,"[5.98644,47.24853]",Point,,CROUUNI2,Crous Université,st_crous_universite,7,63-4,unknown,Feature
615615f357da3ca0b0969406,"[6.020716,47.249626]",Point,,CFRANCA1,Chemin Français,st_chemin_francais,8,45-1,unknown,Feature
615615f357da3ca0b0969407,"[5.997274398803711,47.25324249267578]",Point,,st_temis,Temis,,,,unknown,Feature
615615f357da3ca0b0969408,"[6.0093,47.22875]",Point,,STETHER1,Ste Thérèse,st_ste_therese,9,5-4,unknown,Feature
615615f357da3ca0b0969409,"[5.9952416,47.225025]",Point,,t_rose1,Rosemont,st_rosemont,102,15-0,available,Feature
615615f357da3ca0b096940a,"[6.0457000732421875,47.24512481689453]",Point,,st_colombot,Colombot,,,,unknown,Feature
615615f357da3ca0b096940b,"[5.994769,47.256294]",Point,,BOUCONS2,Montboucons,st_montboucons,12,24-1,unknown,Feature
